source,result,postal_code,country,country_iso_code,federal_district,region_fias_id,region_kladr_id,region_iso_code,region_with_type,region_type,region_type_full,region,area_fias_id,area_kladr_id,area_with_type,area_type,area_type_full,area,city_fias_id,city_kladr_id,city_with_type,city_type,city_type_full,city,city_area,city_district_fias_id,city_district_kladr_id,city_district_with_type,city_district_type,city_district_type_full,city_district,settlement_fias_id,settlement_kladr_id,settlement_with_type,settlement_type,settlement_type_full,settlement,street_fias_id,street_kladr_id,street_with_type,street_type,street_type_full,street,house_fias_id,house_kladr_id,house_cadnum,house_type,house_type_full,house,block_type,block_type_full,block,entrance,floor,flat_fias_id,flat_cadnum,flat_type,flat_type_full,flat,flat_area,square_meter_price,flat_price,postal_box,fias_id,fias_code,fias_level,fias_actuality_state,kladr_id,capital_marker,okato,oktmo,tax_office,tax_office_legal,timezone,geo_lat,geo_lon,beltway_hit,beltway_distance,qc_geo,qc_complete,qc_house,qc,unparsed_parts,metro,med_id_1,med_id_1_division_data_id,med_id_1_name_full,med_id_1_name_short,med_id_1_division_name,med_id_1_division_house_fias,med_id_1_division_house_geo_lat,med_id_1_division_house_geo_lot,med_id_1_division_qc_geo,med_id_1_division_type,med_id_1_division_zone,,
Челябинск Челябинск Лесопарковая 3 ,г Челябинск, ул Лесопарковая, д 3,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,2afee447-a619-42e8-9309-2f704c85af2b,"7,40000010000515E+016",ул Лесопарковая,ул,улица,Лесопарковая,45634bc4-5701-4a58-89dc-fab1746adcc7,"7,40000010000515E+018",,д,дом,3,,,,,,,,,,,,,,,45634bc4-5701-4a58-89dc-fab1746adcc7,"7,4000001E+022",8,0,"7,40000010000515E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1576254,61.3650972,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Лесопарковая 5 ,г Челябинск, ул Лесопарковая, д 5,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,2afee447-a619-42e8-9309-2f704c85af2b,"7,40000010000515E+016",ул Лесопарковая,ул,улица,Лесопарковая,69631d5d-c83b-41e6-ae79-dc539cc16473,"7,40000010000515E+018",,д,дом,5,,,,,,,,,,,,125881,,,69631d5d-c83b-41e6-ae79-dc539cc16473,"7,4000001E+022",8,0,"7,40000010000515E+018",2,75401386000,75701390,7453,7453,UTC+5,55.156857,61.36519,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Лесопарковая 7 ,г Челябинск, ул Лесопарковая, д 7,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,2afee447-a619-42e8-9309-2f704c85af2b,"7,40000010000515E+016",ул Лесопарковая,ул,улица,Лесопарковая,b514eb97-ae38-409d-b6a9-bacc1f95ba73,"7,40000010000515E+018",,д,дом,7,,,,,,,,,,,,93899,,,b514eb97-ae38-409d-b6a9-bacc1f95ba73,"7,4000001E+022",8,0,"7,40000010000515E+018",2,75401386000,75701390,7453,7453,UTC+5,55.155612,61.365417,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Лесопарковая 8 ,г Челябинск, ул Лесопарковая, д 8,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,2afee447-a619-42e8-9309-2f704c85af2b,"7,40000010000515E+016",ул Лесопарковая,ул,улица,Лесопарковая,e20e9de9-1aed-4228-bfa5-f06afaf70f34,"7,40000010000515E+018",74:36:0504007:184,д,дом,8,,,,,,,,,,,,96555,,,e20e9de9-1aed-4228-bfa5-f06afaf70f34,"7,4000001E+022",8,0,"7,40000010000515E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1504451,61.3615506,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Лесопарковая 9 ,г Челябинск, ул Лесопарковая, д 9,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,2afee447-a619-42e8-9309-2f704c85af2b,"7,40000010000515E+016",ул Лесопарковая,ул,улица,Лесопарковая,0c0fc45f-3b92-4533-8745-6de9d62bcad1,"7,40000010000515E+018",,д,дом,9,,,,,,,,,,,,87650,,,0c0fc45f-3b92-4533-8745-6de9d62bcad1,"7,4000001E+022",8,0,"7,40000010000515E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1527149,61.3662494,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Лесопарковая 7Б,г Челябинск, ул Лесопарковая, д 7Б,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,2afee447-a619-42e8-9309-2f704c85af2b,"7,40000010000515E+016",ул Лесопарковая,ул,улица,Лесопарковая,f067374c-ae0c-462f-83c2-dce348d517b1,"7,40000010000515E+018",,д,дом,7Б,,,,,,,,,,,,115182,,,f067374c-ae0c-462f-83c2-dce348d517b1,"7,4000001E+022",8,0,"7,40000010000515E+018",2,75401386000,75701390,7453,7453,UTC+5,55.155403,61.368565,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Лесопарковая 7Г,г Челябинск, ул Лесопарковая, д 7Г,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,2afee447-a619-42e8-9309-2f704c85af2b,"7,40000010000515E+016",ул Лесопарковая,ул,улица,Лесопарковая,04de836d-87d3-4c66-b9f3-71ec39c503e7,"7,40000010000515E+018",,д,дом,7Г,,,,,,,,,,,,91379,,,04de836d-87d3-4c66-b9f3-71ec39c503e7,"7,4000001E+022",8,0,"7,40000010000515E+018",2,75401386000,75701390,7453,7453,UTC+5,55.153781,61.365642,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Лесопарковая 52,г Челябинск, ул Лесопарковая, д 52,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,2afee447-a619-42e8-9309-2f704c85af2b,"7,40000010000515E+016",ул Лесопарковая,ул,улица,Лесопарковая,,,,д,дом,52,,,,,,,,,,,,,,,2afee447-a619-42e8-9309-2f704c85af2b,"7,4000001E+022",7,0,"7,40000010000515E+016",2,75401386000,75701390,7453,7453,UTC+5,55.153884,61.36495,,,2,10,10,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Тернопольская 4 ,г Челябинск, ул Тернопольская, д 4,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,63f7a28e-8943-4f89-b2f8-0398d4fbdf05,"7,40000010000979E+016",ул Тернопольская,ул,улица,Тернопольская,0ffcf521-9187-4893-80f7-2d3bcd4b2657,"7,40000010000979E+018",,д,дом,4,,,,,,,,,,,,,,,0ffcf521-9187-4893-80f7-2d3bcd4b2657,"7,4000001E+022",8,0,"7,40000010000979E+018",2,75401386000,75701390,7453,7453,UTC+5,55.157989,61.3695358,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Тернопольская 12 ,г Челябинск, ул Тернопольская, д 12,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,63f7a28e-8943-4f89-b2f8-0398d4fbdf05,"7,40000010000979E+016",ул Тернопольская,ул,улица,Тернопольская,9a834922-713b-4a2a-8cb1-7258a986fb91,"7,40000010000979E+018",,д,дом,12,,,,,,,,,,,,,,,9a834922-713b-4a2a-8cb1-7258a986fb91,"7,4000001E+022",8,0,"7,40000010000979E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1528765,61.3704002,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
