source,result,postal_code,country,country_iso_code,federal_district,region_fias_id,region_kladr_id,region_iso_code,region_with_type,region_type,region_type_full,region,area_fias_id,area_kladr_id,area_with_type,area_type,area_type_full,area,city_fias_id,city_kladr_id,city_with_type,city_type,city_type_full,city,city_area,city_district_fias_id,city_district_kladr_id,city_district_with_type,city_district_type,city_district_type_full,city_district,settlement_fias_id,settlement_kladr_id,settlement_with_type,settlement_type,settlement_type_full,settlement,street_fias_id,street_kladr_id,street_with_type,street_type,street_type_full,street,house_fias_id,house_kladr_id,house_cadnum,house_type,house_type_full,house,block_type,block_type_full,block,entrance,floor,flat_fias_id,flat_cadnum,flat_type,flat_type_full,flat,flat_area,square_meter_price,flat_price,postal_box,fias_id,fias_code,fias_level,fias_actuality_state,kladr_id,capital_marker,okato,oktmo,tax_office,tax_office_legal,timezone,geo_lat,geo_lon,beltway_hit,beltway_distance,qc_geo,qc_complete,qc_house,qc,unparsed_parts,metro,med_id_1,med_id_1_division_data_id,med_id_1_name_full,med_id_1_name_short,med_id_1_division_name,med_id_1_division_house_fias,med_id_1_division_house_geo_lat,med_id_1_division_house_geo_lot,med_id_1_division_qc_geo,med_id_1_division_type,med_id_1_division_zone,,uchastok,color
Челябинск Челябинск Володарского 50 ,г Челябинск, ул Володарского, д 50,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,146bae4b-eb42-4c83-b303-57fabae28222,"7,40000010000179E+016",ул Володарского,ул,улица,Володарского,59ac96af-9454-4b04-a106-b90c0fcac661,"7,40000010000179E+018",74:36:0000000:47679,д,дом,50,,,,,,,,,,,,48973,,,59ac96af-9454-4b04-a106-b90c0fcac661,"7,4000001E+022",8,0,"7,40000010000179E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1587152,61.3850912,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),8,darkblue
Челябинск Челябинск Володарского 52 ,г Челябинск, ул Володарского, д 52,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,146bae4b-eb42-4c83-b303-57fabae28222,"7,40000010000179E+016",ул Володарского,ул,улица,Володарского,009d7fae-73e4-4b4b-9f22-4ff3c94f0d34,"7,40000010000179E+018",,д,дом,52,,,,,,,,,,,,56181,,,009d7fae-73e4-4b4b-9f22-4ff3c94f0d34,"7,4000001E+022",8,0,"7,40000010000179E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1587807,61.3861746,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),8,darkblue
Челябинск Челябинск Ленина 71 ,г Челябинск, пр-кт Ленина, д 71,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,688e3a10-7255-401a-a108-66e497055190,"7,40000010000508E+016",пр-кт Ленина,пр-кт,проспект,Ленина,ad0aa673-b1e6-4f96-b40c-b3d913e3ff15,"7,40000010000508E+018",,д,дом,71,,,,,,,,,,,,,,,ad0aa673-b1e6-4f96-b40c-b3d913e3ff15,"7,4000001E+022",8,0,"7,40000010000508E+018",2,75401386000,75701390,7453,7453,UTC+5,55.159505,61.3838416,,,0,9,2,3,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),8,darkblue
Челябинск Челябинск Ленина 71А,г Челябинск, пр-кт Ленина, д 71А,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,688e3a10-7255-401a-a108-66e497055190,"7,40000010000508E+016",пр-кт Ленина,пр-кт,проспект,Ленина,54b944ec-e90c-41e8-afb5-af89492c8550,"7,40000010000508E+018",,д,дом,71А,,,,,,,,,,,,,,,54b944ec-e90c-41e8-afb5-af89492c8550,"7,4000001E+022",8,0,"7,40000010000508E+018",2,75401386000,75701390,7453,7453,UTC+5,55.159377,61.382042,,,0,9,2,3,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),8,darkblue
Челябинск Челябинск Свердловский 78 ,г Челябинск, пр-кт Свердловский, д 78,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,21da61e3-0e85-4018-af7f-090fca8607f8,"7,40000010000872E+016",пр-кт Свердловский,пр-кт,проспект,Свердловский,af60fc7c-ed3d-4909-bcea-014724865a66,"7,40000010000872E+018",,д,дом,78,,,,,,,,,,,,,,,af60fc7c-ed3d-4909-bcea-014724865a66,"7,4000001E+022",8,0,"7,40000010000872E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1571589,61.388828,,,0,9,2,3,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),8,darkblue
Челябинск Челябинск Энгельса 69Б,г Челябинск, ул Энгельса, д 69Б,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4c2743eb-2004-48ca-af78-508910b0ff7d,"7,40000010001173E+016",ул Энгельса,ул,улица,Энгельса,0ece63cd-4c07-4f8e-8beb-f8627068cb42,"7,40000010001173E+018",,д,дом,69Б,,,,,,,,,,,,82581,,,0ece63cd-4c07-4f8e-8beb-f8627068cb42,"7,4000001E+022",8,0,"7,40000010001173E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1583102,61.3832438,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),8,darkblue
Челябинск Челябинск Сони Кривой 34 ,г Челябинск, ул Сони Кривой, д 34,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,9073effc-1f53-40c0-b5f8-e8d4fa408459,"7,40000010000478E+016",ул Сони Кривой,ул,улица,Сони Кривой,6b0020e9-0662-493f-9085-8dc77a188851,"7,40000010000478E+018",74:36:0507008:214,д,дом,34,,,,,,,,,,,,,,,6b0020e9-0662-493f-9085-8dc77a188851,"7,4000001E+022",8,0,"7,40000010000478E+018",2,75401386000,75701390,7453,7453,UTC+5,55.158298,61.3878768,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),8,darkblue
Челябинск Челябинск Сони Кривой 36 ,г Челябинск, ул Сони Кривой, д 36,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,9073effc-1f53-40c0-b5f8-e8d4fa408459,"7,40000010000478E+016",ул Сони Кривой,ул,улица,Сони Кривой,9b925b05-743a-44c7-9265-dfbe546972b7,"7,40000010000478E+018",,д,дом,36,,,,,,,,,,,,55010,,,9b925b05-743a-44c7-9265-dfbe546972b7,"7,4000001E+022",8,0,"7,40000010000478E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1580519,61.3862332,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),8,darkblue
Челябинск Челябинск Сони Кривой 38 ,г Челябинск, ул Сони Кривой, д 38,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,9073effc-1f53-40c0-b5f8-e8d4fa408459,"7,40000010000478E+016",ул Сони Кривой,ул,улица,Сони Кривой,ad3794b7-a0e8-460a-8fa9-00ae152e05a7,"7,40000010000478E+018",,д,дом,38,,,,,,,,,,,,64267,,,ad3794b7-a0e8-460a-8fa9-00ae152e05a7,"7,4000001E+022",8,0,"7,40000010000478E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1579884,61.385368,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),8,darkblue
Челябинск Челябинск Сони Кривой 41 ,г Челябинск, ул Сони Кривой, д 41,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,9073effc-1f53-40c0-b5f8-e8d4fa408459,"7,40000010000478E+016",ул Сони Кривой,ул,улица,Сони Кривой,a674f4f5-aa9c-4fe2-be69-7338bfbd0172,"7,40000010000478E+018",,д,дом,41,,,,,,,,,,,,56452,,,a674f4f5-aa9c-4fe2-be69-7338bfbd0172,"7,4000001E+022",8,0,"7,40000010000478E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1577079,61.3886255,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),8,darkblue
