REGION;CITY;addr:street;addr:housenumber;SEX;count;;
Челябинская;Челябинск;Дом Инвалидов;1;женский;11;;
Челябинская;Челябинск;Дом Инвалидов;1;мужской;11;;
Челябинская;Челябинск;Дом Инвалидов;1А;женский;1;;
Челябинская;Челябинск;1 Мая;26;женский;1;;
Челябинская;Челябинск;1 Мая;28;женский;1;;
Челябинская;Челябинск;1 Мая;28;мужской;1;;
Челябинская;Челябинск;1 Мая;44;мужской;1;;
Челябинская;Исаково;1 Мая;1;мужской;2;;
Челябинская;Исаково;1 Мая;10;женский;2;;
Челябинская;Исаково;1 Мая;10;мужской;3;;
Челябинская;Исаково;1 Мая;12;женский;2;;
Челябинская;Исаково;1 Мая;12;мужской;1;;
Челябинская;Исаково;1 Мая;13;женский;2;;
Челябинская;Исаково;1 Мая;13;мужской;2;;
Челябинская;Исаково;1 Мая;16;женский;2;;
Челябинская;Исаково;1 Мая;17;мужской;1;;
Челябинская;Исаково;1 Мая;2;женский;1;;
Челябинская;Исаково;1 Мая;20;женский;1;;
Челябинская;Исаково;1 Мая;20;мужской;1;;
Челябинская;Исаково;1 Мая;23;женский;2;;
Челябинская;Исаково;1 Мая;24;женский;3;;
Челябинская;Исаково;1 Мая;26;женский;2;;
Челябинская;Исаково;1 Мая;26;мужской;1;;
Челябинская;Исаково;1 Мая;28;женский;2;;
Челябинская;Исаково;1 Мая;28;мужской;1;;
Челябинская;Исаково;1 Мая;5;женский;2;;
Челябинская;Исаково;1 Мая;5;мужской;2;;
Челябинская;Исаково;1 Мая;6;мужской;1;;
Челябинская;Исаково;1 Мая;8;женский;1;;
Челябинская;Челябинск;11-городок;0;женский;6;;
Челябинская;Челябинск;11-городок;0;мужской;8;;
Челябинская;Челябинск;11-городок;1;женский;3;;
Челябинская;Челябинск;11-городок;1;мужской;9;;
Челябинская;Челябинск;11-городок;10;мужской;1;;
Челябинская;Челябинск;11-городок;11;мужской;3;;
Челябинская;Челябинск;11-городок;11А;мужской;1;;
Челябинская;Челябинск;11-городок;14;мужской;1;;
Челябинская;Челябинск;11-городок;15;женский;1;;
Челябинская;Челябинск;11-городок;16;мужской;1;;
Челябинская;Челябинск;11-городок;17;мужской;1;;
Челябинская;Челябинск;11-городок;18;женский;1;;
Челябинская;Челябинск;11-городок;18;мужской;2;;
Челябинская;Челябинск;11-городок;19;мужской;2;;
Челябинская;Челябинск;11-городок;20;мужской;1;;
Челябинская;Челябинск;11-городок;22;мужской;1;;
Челябинская;Челябинск;11-городок;24;женский;1;;
Челябинская;Челябинск;11-городок;25;мужской;1;;
Челябинская;Челябинск;11-городок;27;женский;1;;
Челябинская;Челябинск;11-городок;28;женский;2;;
Челябинская;Челябинск;11-городок;28;мужской;3;;
Челябинская;Челябинск;11-городок;282;женский;25;;
Челябинская;Челябинск;11-городок;282;мужской;23;;
Челябинская;Челябинск;11-городок;29;мужской;1;;
Челябинская;Челябинск;11-городок;30;женский;1;;
Челябинская;Челябинск;11-городок;30;мужской;2;;
Челябинская;Челябинск;11-городок;33;женский;1;;
Челябинская;Челябинск;11-городок;36;мужской;2;;
Челябинская;Челябинск;11-городок;4;женский;4;;
Челябинская;Челябинск;11-городок;4;мужской;1;;
Челябинская;Челябинск;11-городок;40;женский;155;;
Челябинская;Челябинск;11-городок;40;мужской;137;;
Челябинская;Челябинск;11-городок;40А;женский;1;;
Челябинская;Челябинск;11-городок;40А;мужской;1;;
Челябинская;Челябинск;11-городок;46А;женский;2;;
Челябинская;Челябинск;11-городок;4А;мужской;1;;
Челябинская;Челябинск;11-городок;5;женский;1;;
Челябинская;Челябинск;11-городок;5;мужской;1;;
Челябинская;Челябинск;11-городок;54;мужской;1;;
Челябинская;Челябинск;11-городок;56;женский;1;;
Челябинская;Челябинск;11-городок;6;женский;2;;
Челябинская;Челябинск;11-городок;64;мужской;1;;
Челябинская;Челябинск;11-городок;7;мужской;2;;
Челябинская;Челябинск;11-городок;70;мужской;1;;
Челябинская;Челябинск;11-городок;8;мужской;1;;
Челябинская;Челябинск;11-городок;80;мужской;1;;
Челябинская;Челябинск;11-городок;82;мужской;1;;
Челябинская;Челябинск;17-й;33;мужской;1;;
Челябинская;Челябинск;18 км;1;женский;3;;
Челябинская;Челябинск;18 км;1;мужской;1;;
Челябинская;Челябинск;18 км;2А;женский;2;;
Челябинская;Челябинск;18 км;2А;мужской;1;;
Челябинская;Челябинск;2 Мельзавод;15;мужской;1;;
Челябинская;Челябинск;2 Мельзавод;19;женский;1;;
Челябинская;Челябинск;2 Мельзавод;39;женский;2;;
Челябинская;Челябинск;2 Мельзавод;39;мужской;5;;
Челябинская;Челябинск;2 Мельзавод;40;женский;4;;
Челябинская;Челябинск;2 Мельзавод;40;мужской;1;;
Челябинская;Челябинск;2 Мельзавод;6;женский;1;;
Челябинская;Челябинск;2 Мельзавод;6;мужской;1;;
Челябинская;Челябинск;2 Мельзавод;7;мужской;1;;
Челябинская;Челябинск;2 Стройгородок;1;женский;10;;
Челябинская;Челябинск;2 Стройгородок;1;мужской;4;;
Челябинская;Челябинск;2 Стройгородок;2;женский;14;;
Челябинская;Челябинск;2 Стройгородок;2;мужской;9;;
Челябинская;Челябинск;2 Стройгородок;3;женский;14;;
Челябинская;Челябинск;2 Стройгородок;3;мужской;10;;
Челябинская;Челябинск;2 Стройгородок;4;женский;20;;
Челябинская;Челябинск;2 Стройгородок;4;мужской;20;;
Челябинская;Челябинск;2 Стройгородок;40;женский;1;;
Челябинская;Челябинск;2 Стройгородок;40;мужской;1;;
Челябинская;Челябинск;2 Стройгородок;40А;мужской;1;;
Челябинская;Челябинск;2 Стройгородок;5;женский;16;;
Челябинская;Челябинск;2 Стройгородок;5;мужской;12;;
Челябинская;Челябинск;2 Стройгородок;6;мужской;3;;
Челябинская;Челябинск;2 Стройгородок;7;женский;26;;
Челябинская;Челябинск;2 Стройгородок;7;мужской;19;;
Челябинская;Челябинск;2 Стройгородок;8;женский;28;;
Челябинская;Челябинск;2 Стройгородок;8;мужской;18;;
Челябинская;Челябинск;2092;1;мужской;1;;
Челябинская;Челябинск;250-летия Челябинска;1;женский;178;;
Челябинская;Челябинск;250-летия Челябинска;1;мужской;131;;
Челябинская;Челябинск;250-летия Челябинска;10;женский;110;;
Челябинская;Челябинск;250-летия Челябинска;10;мужской;85;;
Челябинская;Челябинск;250-летия Челябинска;11;мужской;2;;
Челябинская;Челябинск;250-летия Челябинска;1213;мужской;1;;
Челябинская;Челябинск;250-летия Челябинска;13;женский;235;;
Челябинская;Челябинск;250-летия Челябинска;13;мужской;164;;
Челябинская;Челябинск;250-летия Челябинска;130;мужской;1;;
Челябинская;Челябинск;250-летия Челябинска;13А;женский;112;;
Челябинская;Челябинск;250-летия Челябинска;13А;мужской;73;;
Челябинская;Челябинск;250-летия Челябинска;14;женский;206;;
Челябинская;Челябинск;250-летия Челябинска;14;мужской;139;;
Челябинская;Челябинск;250-летия Челябинска;148;женский;1;;
Челябинская;Челябинск;250-летия Челябинска;15А;женский;80;;
Челябинская;Челябинск;250-летия Челябинска;15А;мужской;59;;
Челябинская;Челябинск;250-летия Челябинска;15Б;мужской;1;;
Челябинская;Челябинск;250-летия Челябинска;16;женский;214;;
Челябинская;Челябинск;250-летия Челябинска;16;мужской;170;;
Челябинская;Челябинск;250-летия Челябинска;166;женский;1;;
Челябинская;Челябинск;250-летия Челябинска;16А;женский;119;;
Челябинская;Челябинск;250-летия Челябинска;16А;мужской;82;;
Челябинская;Челябинск;250-летия Челябинска;17;женский;195;;
Челябинская;Челябинск;250-летия Челябинска;17;мужской;133;;
Челябинская;Челябинск;250-летия Челябинска;17А;женский;1;;
Челябинская;Челябинск;250-летия Челябинска;17А;мужской;1;;
Челябинская;Челябинск;250-летия Челябинска;1А;женский;128;;
Челябинская;Челябинск;250-летия Челябинска;1А;мужской;119;;
Челябинская;Челябинск;250-летия Челябинска;1Б;женский;157;;
Челябинская;Челябинск;250-летия Челябинска;1Б;мужской;117;;
Челябинская;Челябинск;250-летия Челябинска;2;женский;1;;
Челябинская;Челябинск;250-летия Челябинска;20;женский;218;;
Челябинская;Челябинск;250-летия Челябинска;20;мужской;172;;
Челябинская;Челябинск;250-летия Челябинска;20А;женский;240;;
Челябинская;Челябинск;250-летия Челябинска;20А;мужской;160;;
Челябинская;Челябинск;250-летия Челябинска;20Д;мужской;1;;
Челябинская;Челябинск;250-летия Челябинска;21;женский;202;;
Челябинская;Челябинск;250-летия Челябинска;21;мужской;136;;
Челябинская;Челябинск;250-летия Челябинска;21А;женский;61;;
Челябинская;Челябинск;250-летия Челябинска;21А;мужской;45;;
Челябинская;Челябинск;250-летия Челябинска;23;женский;83;;
Челябинская;Челябинск;250-летия Челябинска;23;мужской;61;;
Челябинская;Челябинск;250-летия Челябинска;23А;женский;44;;
Челябинская;Челябинск;250-летия Челябинска;23А;мужской;30;;
Челябинская;Челябинск;250-летия Челябинска;25;женский;297;;
Челябинская;Челябинск;250-летия Челябинска;25;мужской;210;;
Челябинская;Челябинск;250-летия Челябинска;2547;мужской;1;;
Челябинская;Челябинск;250-летия Челябинска;258;женский;1;;
Челябинская;Челябинск;250-летия Челябинска;25А;женский;107;;
Челябинская;Челябинск;250-летия Челябинска;25А;мужской;80;;
