REGION;CITY;addr:street;addr:housenumber;SEX;count;;;
Челябинская;Челябинск;Дом Инвалидов;1;женский;11;;;
Челябинская;Челябинск;Дом Инвалидов;1А;мужской;11;;;
Челябинская;Челябинск;1 Мая;26;женский;1;;;
Челябинская;Челябинск;1 Мая;28;женский;1;;;
Челябинская;Челябинск;1 Мая;44;женский;1;;;
Челябинская;Челябинск;1 Мая;1;мужской;1;;;
Челябинская;Челябинск;1 Мая;10;мужской;1;;;
Челябинская;Исаково;1 Мая;12;мужской;2;;;
Челябинская;Исаково;1 Мая;13;женский;2;;;
Челябинская;Исаково;1 Мая;16;мужской;3;;;
Челябинская;Исаково;1 Мая;17;женский;2;;;
Челябинская;Исаково;1 Мая;2;мужской;1;;;
Челябинская;Исаково;1 Мая;20;женский;2;;;
Челябинская;Исаково;1 Мая;23;мужской;2;;;
Челябинская;Исаково;1 Мая;24;женский;2;;;
Челябинская;Исаково;1 Мая;5;мужской;1;;;
Челябинская;Исаково;1 Мая;6;женский;1;;;
Челябинская;Исаково;1 Мая;8;женский;1;;;
Челябинская;Исаково;11-городок;0;мужской;1;;;
Челябинская;Исаково;11-городок;1;женский;2;;;
Челябинская;Исаково;11-городок;10;женский;3;;;
Челябинская;Исаково;11-городок;11;женский;2;;;
Челябинская;Исаково;11-городок;11А;мужской;1;;;
Челябинская;Исаково;11-городок;14;женский;2;;;
Челябинская;Исаково;11-городок;15;мужской;1;;;
Челябинская;Исаково;11-городок;16;женский;2;;;
Челябинская;Исаково;11-городок;17;мужской;2;;;
Челябинская;Исаково;11-городок;18;мужской;1;;;
Челябинская;Исаково;11-городок;19;женский;1;;;
Челябинская;Челябинск;11-городок;20;женский;6;;;
Челябинская;Челябинск;11-городок;22;мужской;8;;;
Челябинская;Челябинск;11-городок;24;женский;3;;;
Челябинская;Челябинск;11-городок;25;мужской;9;;;
Челябинская;Челябинск;11-городок;27;мужской;1;;;
Челябинская;Челябинск;11-городок;28;мужской;3;;;
Челябинская;Челябинск;11-городок;282;мужской;1;;;
Челябинская;Челябинск;11-городок;29;мужской;1;;;
Челябинская;Челябинск;11-городок;30;женский;1;;;
